"site_type","univ_name","url","target_group","target_dept"
"jinhak","가천대학교","https://addon.jinhakapply.com/RatioV1/RatioH/Ratio10190711.html","지역균형 전형","자유전공"
"uway","연세대학교(미래)","https://ratio.uwayapply.com/Sl5KZiVgJldhYkpmJSY6Jko3ZlRm","교과우수자","소프트웨어학부"
"uway","고려대학교(세종)","https://ratio.uwayapply.com/Sl5KcldhL2AmOzhgfWE5SmYlJjomSjdmVGY=","크림슨인재전형","전자및정보공학과"
"uway","고려대학교(세종)","https://ratio.uwayapply.com/Sl5KcldhL2AmOzhgfWE5SmYlJjomSjdmVGY=","크림슨인재전형","인공지능사이버보안학과"
"uway","고려대학교(세종)","https://ratio.uwayapply.com/Sl5KcldhL2AmOzhgfWE5SmYlJjomSjdmVGY=","크림슨인재전형","컴퓨터소프트웨어학과"
"jinhak","삼육대","https://addon.jinhakapply.com/RatioV1/RatioH/Ratio10760741.html","S/W인재전형","컴퓨터공학부"
"jinhak","삼육대","https://addon.jinhakapply.com/RatioV1/RatioH/Ratio10760741.html","S/W인재전형","인공지능융합학부"
"jinhak","가천대학교","https://addon.jinhakapply.com/RatioV1/RatioH/Ratio10190711.html","가천바람개비","정보보호학과"
"uway","고려대학교(세종)","https://ratio.uwayapply.com/Sl5KcldhL2AmOzhgfWE5SmYlJjomSjdmVGY=","논술","전자및정보공학과"
"uway","고려대학교(세종)","https://ratio.uwayapply.com/Sl5KcldhL2AmOzhgfWE5SmYlJjomSjdmVGY=","논술","인공지능사이버보안학과"
"uway","고려대학교(세종)","https://ratio.uwayapply.com/Sl5KcldhL2AmOzhgfWE5SmYlJjomSjdmVGY=","논술","컴퓨터소프트웨어학과"
"uway","상명대","https://ratio.uwayapply.com/Sl5KOk0mSmYlJjomSjdmVGY=","논술","휴먼AI공학전공"
"uway","상명대","https://ratio.uwayapply.com/Sl5KOk0mSmYlJjomSjdmVGY=","논술","데이터과학전공"
"uway","상명대","https://ratio.uwayapply.com/Sl5KOk0mSmYlJjomSjdmVGY=","논술","컴퓨터과학전공"
"uway","국민대","https://ratio.uwayapply.com/Sl5KVyVNOWFhOUpmJSY6Jko3ZlRm","논술","소프트웨어학부"
"uway","국민대","https://ratio.uwayapply.com/Sl5KVyVNOWFhOUpmJSY6Jko3ZlRm","논술","인공지능학부"
"jinhak","삼육대","https://addon.jinhakapply.com/RatioV1/RatioH/Ratio10760741.html","논술","컴퓨터공학부"
"jinhak","삼육대","https://addon.jinhakapply.com/RatioV1/RatioH/Ratio10760741.html","논술","인공지능융합학부"
